species,fisheries_target
Abudefduf bengalensis,rarely
Abudefduf sexfasciatus,rarely
Abudefduf vaigiensis,rarely
Abudefduf whitleyi,rarely
Acanthaluteres brownii,occasionally
Acanthaluteres spilomelanurus,rarely
Acanthaluteres vittiger,occasionally
Acanthochromis polyacanthus,rarely
Acanthopagrus australis,often
Acanthurus albipectoralis,rarely
Acanthurus blochii,rarely
Acanthurus dussumieri,rarely
Acanthurus grammoptilus,rarely
Acanthurus lineatus,rarely
Acanthurus nigricans,rarely
Acanthurus nigricauda,rarely
Acanthurus nigrofuscus,rarely
Acanthurus nigroris,rarely
Acanthurus olivaceus,rarely
Acanthurus pyroferus,rarely
Acanthurus triostegus,rarely
Achoerodus gouldii,often
Achoerodus viridis,often
Amblyglyphidodon curacao,rarely
Amblyglyphidodon leucogaster,rarely
Amblygobius phalaena,rarely
Amphiprion akindynos,rarely
Anampses elegans,rarely
Anampses geographicus,rarely
Anampses neoguinaicus,rarely
Aplodactylus arctidens,often
Aplodactylus lophodon,rarely
Apogon doederleini,rarely
Apogon limenus,rarely
Apogon victoriae,rarely
Aracana aurita,rarely
Arripis georgianus,often
Arripis trutta,often
Atypichthys strigatus,rarely
Austrolabrus maculatus,rarely
Brachaluteres jacksonianus,rarely
Caesio caerulaurea,rarely
Caesio cuning,rarely
Caesio teres,rarely
Caesioperca lepidoptera,rarely
Caesioperca rasor,rarely
Caesioscorpis theagenes,rarely
Canthigaster valentini,rarely
Caranx melampygus,often
Caranx sexfasciatus,occasionally
Centropyge bicolor,rarely
Centropyge bispinosa,rarely
Centropyge tibicen,rarely
Centropyge vrolikii,rarely
Chaetodon aureofasciatus,rarely
Chaetodon auriga,rarely
Chaetodon baronessa,rarely
Chaetodon citrinellus,rarely
Chaetodon flavirostris,rarely
Chaetodon guentheri,rarely
Chaetodon kleinii,rarely
Chaetodon lunulatus,rarely
Chaetodon melannotus,rarely
Chaetodon mertensii,rarely
Chaetodon pelewensis,rarely
Chaetodon plebeius,rarely
Chaetodon rainfordi,rarely
Chaetodon tricinctus,rarely
Chaetodon trifascialis,rarely
Cheilinus chlorourus,rarely
Cheilinus fasciatus,rarely
Cheilinus trilobatus,rarely
Cheilodactylus fuscus,often
Cheilodactylus nigripes,occasionally
Cheilodactylus spectabilis,often
Cheilodactylus vestitus,occasionally
Cheilodipterus quinquelineatus,rarely
Chelmon marginalis,rarely
Chelmonops curiosus,rarely
Chironemus marmoratus,rarely
Chlorurus microrhinos,occasionally
Chlorurus sordidus,rarely
Choerodon cyanodus,often
Choerodon rubescens,often
Choerodon schoenleinii,often
Chromis amboinensis,rarely
Chromis atripectoralis,rarely
Chromis atripes,rarely
Chromis chrysura,rarely
Chromis flavomaculata,rarely
Chromis hypsilepis,rarely
Chromis klunzingeri,rarely
Chromis margaritifer,rarely
Chromis nitida,rarely
Chromis ternatensis,rarely
Chromis viridis,rarely
Chromis weberi,rarely
Chromis westaustralis,rarely
Chromis xanthochira,rarely
Chromis xanthura,rarely
Chrysophrys auratus,often
Cirrhilabrus exquisitus,rarely
Cirrhilabrus punctatus,rarely
Cirripectes filamentosus,rarely
Coris auricularis,occasionally
Coris aygula,rarely
Coris batuensis,rarely
Coris bulbifrons,often
Coris picta,rarely
Ctenochaetus binotatus,rarely
Ctenochaetus cyanocheilus,rarely
Ctenochaetus striatus,rarely
Dactylophora nigricans,often
Dascyllus aruanus,rarely
Dascyllus reticulatus,rarely
Dascyllus trimaculatus,rarely
Diagramma labiosum,occasionally
Dinolestes lewini,often
Diodon nicthemerus,rarely
Dischistodus melanotus,rarely
Dischistodus perspicillatus,rarely
Dischistodus prosopotaenia,rarely
Dischistodus pseudochrysopoecilus,rarely
Dotalabrus alleni,rarely
Dotalabrus aurantiacus,rarely
Enoplosus armatus,occasionally
Epibulus insidiator,rarely
Epinephelides armatus,often
Epinephelus fasciatus,often
Eubalichthys bucephalus,often
Eupetrichthys angustipes,rarely
Forcipiger flavissimus,rarely
Gerres subfasciatus,rarely
Girella elevata,often
Girella tricuspidata,often
Girella zebra,occasionally
Gnathodentex aureolineatus,rarely
Gomphosus varius,rarely
Halichoeres biocellatus,rarely
Halichoeres brownfieldi,rarely
Halichoeres hortulanus,rarely
Halichoeres margaritaceus,rarely
Halichoeres marginatus,rarely
Halichoeres melanochir,rarely
Halichoeres melanurus,rarely
Halichoeres miniatus,rarely
Halichoeres nebulosus,rarely
Halichoeres nigrescens,rarely
Halichoeres trimaculatus,rarely
Hemiglyphidodon plagiometopon,rarely
Hemigymnus fasciatus,occasionally
Hemigymnus melapterus,occasionally
Hemitaurichthys polylepis,rarely
Heterodontus portusjacksoni,occasionally
Heteroscarus acroptilus,rarely
Hipposcarus longiceps,rarely
Hypoplectrodes maccullochi,rarely
Kyphosus bigibbus,rarely
Kyphosus cinerascens,rarely
Kyphosus cornelii,occasionally
Kyphosus sectatrix,rarely
Kyphosus sydneyanus,occasionally
Labrichthys unilineatus,rarely
Labroides bicolor,rarely
Labroides dimidiatus,rarely
Labropsis australis,rarely
Latridopsis forsteri,often
Leptojulis cyanopleura,rarely
Lethrinus nebulosus,often
Lutjanus bohar,occasionally
Lutjanus carponotatus,often
Lutjanus fulviflamma,occasionally
Lutjanus gibbus,rarely
Lutjanus kasmira,occasionally
Lutjanus quinquelineatus,occasionally
Macropharyngodon meleagris,rarely
Mecaenichthys immaculatus,rarely
Meiacanthus atrodorsalis,rarely
Meuschenia australis,occasionally
Meuschenia flavolineata,occasionally
Meuschenia freycineti,often
Meuschenia galii,occasionally
Meuschenia hippocrepis,occasionally
Meuschenia trachylepis,occasionally
Microcanthus strigatus,rarely
Monodactylus argenteus,rarely
Monotaxis grandoculis,rarely
Monotaxis heterodon,rarely
Mugil cephalus,often
Mulloidichthys flavolineatus,rarely
Mulloidichthys vanicolensis,rarely
Myripristis kuntee,rarely
Myripristis violacea,rarely
Myripristis vittata,rarely
Naso brevirostris,rarely
Naso lituratus,rarely
Naso tonganus,rarely
Naso unicornis,rarely
Neatypus obliquus,rarely
Neoglyphidodon melas,rarely
Neoglyphidodon nigroris,rarely
Neoniphon sammara,rarely
Neoodax balteatus,rarely
Notolabrus fucicola,often
Notolabrus gymnogenis,often
Notolabrus parilus,often
Notolabrus tetricus,often
Olisthops cyanomelas,occasionally
Ophthalmolepis lineolatus,occasionally
Ostorhinchus aureus,rarely
Ostorhinchus compressus,rarely
Oxycheilinus digrammus,rarely
Oxycheilinus unifasciatus,rarely
Oxymonacanthus longirostris,rarely
Paracaesio xanthura,rarely
Paracirrhites arcatus,rarely
Paracirrhites forsteri,rarely
Parapercis haackei,rarely
Parapriacanthus elongatus,rarely
Parequula melbournensis,rarely
Parma mccullochi,rarely
Parma microlepis,rarely
Parma occidentalis,rarely
Parma polylepis,rarely
Parma unifasciata,rarely
Parma victoriae,rarely
Parupeneus barberinoides,occasionally
Parupeneus crassilabris,occasionally
Parupeneus multifasciatus,occasionally
Parupeneus spilurus,occasionally
Pempheris affinis,rarely
Pempheris analis,rarely
